"","V1","Mean1","Mean2","Mean3","Mean4","Mean5","Mean6","Mean7","Mean8","Mean9","Mean10","Mean11","Mean12","Mean13","Mean14","Mean15","Mean16","Mean17","Mean18","Mean19","Mean20","Mean21","Mean22","Mean23","Mean24","Mean25","Mean26","Mean27","Mean28","Mean29","Mean30","Mean31","Mean32","Mean33","Mean34","Mean35","Mean36","Mean37","Mean38","Mean39","Mean40","Mean41","Mean42","Mean43","Mean44","Mean45","Mean46","Mean47","Mean48","Mean49","Mean50","Mean51","Mean52","Mean53","Mean54"
"15574",2800,409.438,380.242,350.707,374.397,362.742,364.523,329.479,301.71,355.794,395.533,388.311,396.63,379.681,425.568,407.097,365.114,345.799,323,331.053,392.278,332.798,382.228,419.023,389.397,306.333,310.421,296.936,486.72,407.844,498.847,383.024,392.787,400.391,376.193,355.631,400.761,402.126,419.706,355.051,323.5,346.084,337.551,355.847,307.181,335.688,346.572,326.596,335.213,356.883,271.324,251.004,377.276,406.465,379.354
"15575",2801,406.95,379.391,349.859,373.486,361.156,362.414,324.4,302.332,347.185,396.616,389.748,395.091,372.424,417.742,398.116,369.314,350.189,325.205,340.541,392.267,336.241,381.069,417.777,388.39,308.61,307.162,297.572,479.005,406.05,493.763,378.018,386.469,403.622,383.615,362.847,397.286,406.498,417.101,360.869,321.284,349.102,352.526,351.932,299.537,343.972,350.566,323.079,336.208,360.413,275.543,247.471,370.662,405.639,385.484
"15576",2802,414.021,378.551,351.496,370.587,355.031,359.355,330.674,302.832,353.008,389.188,390.483,403.322,371.886,420.437,401.296,369.514,348.409,323.849,340.86,387.542,333.746,382.334,418.63,377.527,302.542,306.394,296.542,474.086,406.768,500.572,381.305,380.014,401.298,380.266,365.767,404.867,408.541,418.908,371.533,320.709,347.355,337.654,344.161,307.458,332.08,348.006,324.732,339.551,352.908,275.505,249.604,377.68,406.712,381.135
"15577",2803,408.608,379.014,353.879,374.673,360.244,355.434,332.942,305.72,356.248,391.286,384.567,396.447,368.93,416.337,391.806,367.576,352.518,325.253,337.377,383.978,333.803,386.206,418.61,387.384,320.119,305.403,302.652,464.113,408.146,495.996,381.299,393.502,399.571,388.172,366.928,404.698,400.319,421.465,356.226,315.189,349.771,347.141,345.246,308.463,337.42,344.626,321.268,329.995,366.6,278.624,249.871,377.556,401.313,382.094
"15578",2804,405.325,376.169,354.336,378.616,363.236,361.754,328.632,298.561,350.916,393.557,395.172,398.038,376.742,417.995,402.301,365.227,349.988,323.886,332.227,385.993,338.259,382.419,416,374.753,306.175,310.028,298.985,468.812,416.212,505.097,381.067,395.333,401.445,386.109,366.644,402.667,410.425,429.509,367.124,318.851,349.181,339.41,354.415,307.141,331.92,353.62,331.575,338.145,361.892,276.305,256.179,381.249,405.978,386.349
"15579",2805,404.875,383.633,350.012,371.536,358.156,359.32,331.905,304.425,352.29,394.686,389.882,390.601,375.699,416.937,402.431,371.482,350.854,322.157,339.565,384.531,330.421,381.138,419.636,384.329,311.96,313.616,294.883,479.898,404.248,496.025,383.043,383.531,389.025,381.24,360.258,401.376,394.527,423.596,366.62,314.02,343.608,335.16,347.5,302.062,328.926,348.114,332.719,333.435,355.567,277.424,252.958,374.293,402.709,382.979
"15580",2806,401.621,375.155,350.805,381.441,352.6,359.477,332.779,301.654,347.803,384.69,384.139,390.322,374.507,420.174,399.769,364.902,346.372,312.663,334.874,381.418,333.254,376.659,411.472,381.473,312.079,306.778,295.989,471.086,404.477,497.369,372.756,389.164,395.151,381.745,361.072,404.541,405.565,421.228,365.686,312.115,350.133,340.032,340.843,308.627,335.278,345.795,326.732,332.222,358.383,278.8,247.325,370.578,402.478,381.818
"15581",2807,397.725,375.594,349.973,371.638,358.289,355.973,328.032,298.864,350.454,396.231,387.399,390.827,376.074,413.274,401.028,364.361,342.171,322.645,336.855,383.802,334.18,374.534,417.968,386.527,308.876,301.296,300.492,462.898,407.017,501.869,379.091,382.155,396.941,373.786,357.131,396.157,396.097,414.307,362.102,312.385,349.145,344.897,343.508,304.621,331.432,350.042,321.868,334.821,353.904,271.71,257.421,378.182,406.462,375.135
"15582",2808,407.983,367.768,346.855,372.514,358.373,354.441,329.7,304.364,346.702,398.467,391.025,400.13,378.41,416.668,401.602,365.753,349.793,313.789,328.15,374.934,335.811,379.319,413.17,379.466,313.266,309.509,300.886,477.081,406.536,493.068,383.835,385.295,394.714,384.219,353.216,399.843,402.314,415.11,369.949,314.135,345.614,338.712,338.487,301.198,331.886,342.482,321.899,339.729,360.896,284.005,244.837,380.169,401.975,378.208
"15583",2809,401.413,377.155,350.785,371.276,354.08,357.477,324.532,297.397,350.655,392.016,383.345,390.769,374.76,405.663,400.546,362.341,348.689,315.663,327.763,383.286,333.088,376.719,412.795,382.096,304.452,307.653,289.523,465.392,402.351,505.322,376.549,387.459,398.298,369.438,354.814,397.2,398.328,417.794,368.876,311.507,350.602,344.006,345.682,306.763,333.091,349.608,323.123,335.517,360.358,276.048,247.304,376.507,399.237,376.031
