"","V1","Mean1","Mean2","Mean3","Mean4","Mean5","Mean6","Mean7","Mean8","Mean9","Mean10","Mean11","Mean12","Mean13","Mean14","Mean15","Mean16","Mean17","Mean18","Mean19","Mean20","Mean21","Mean22","Mean23","Mean24","Mean25","Mean26","Mean27","Mean28","Mean29","Mean30","Mean31","Mean32","Mean33","Mean34","Mean35","Mean36","Mean37","Mean38","Mean39","Mean40","Mean41","Mean42","Mean43","Mean44","Mean45","Mean46","Mean47","Mean48","Mean49","Mean50","Mean51","Mean52","Mean53","Mean54"
"1",1,281.967,249.947,216.531,210.968,219.556,212.602,175.105,140.294,200.101,263.376,252.315,266.37,231.31,319.384,281.093,252.694,234.329,213.813,203.333,264.612,213.145,251.003,293.607,224.87,195.831,197.074,149.102,376.446,290.904,364.979,235.244,242.614,246.987,269.698,224.326,292.392,280.179,275.667,261.92,188.554,177.892,214.75,220.877,128.497,186.92,217.849,159.022,159.068,183.225,100.671,77.9,213.507,252.627,242.438
"2",2,310.154,268.802,233.211,246.168,241.258,234.75,190.179,157.841,219.534,281,276.504,286.591,249.996,327.911,301.269,275.957,246.732,218.542,232.44,277.608,221.171,264.884,319.05,242.363,203.61,210.968,161.261,390.516,297.831,373.225,268.018,253.343,258.95,286.995,231.085,299.925,288.333,305.811,280.117,204.122,199.801,223.244,236.229,146.921,204.949,234.06,174.39,189.734,215.483,122.738,93.4,233.773,263.013,251.495
"3",3,305.658,269.319,243.281,253.902,244.8,245,196.847,172.692,222.008,293.353,284.891,297.774,260.323,339.342,302.338,267.878,249.567,220.078,236.628,280.63,224.618,270.888,324.393,241.596,206.627,222.037,168.723,400.919,309.05,388.157,271.043,270.894,267.37,278.688,246.886,316.651,296.024,310.991,279.934,229.412,222.343,232.026,245.551,153.847,200.864,246.163,182.82,195.3,218.275,133.3,106.279,243.48,282.484,263.943
"4",4,319.296,281.072,240.824,259.698,247.218,248.102,203.984,170.023,223.26,287.059,279.723,298.332,257.135,333.4,306.185,274.326,250.896,231.886,237.039,286.7,233.346,275.269,326.226,242.952,212.441,215.968,174.996,401.683,312.788,386.754,273.744,280.763,272.084,282.557,232.25,321.227,298.469,312.855,281,210.777,217.325,229.955,240.093,161.774,211.159,246.229,187.478,198.072,223.721,134.59,109.308,247.396,284,263.911
"5",5,316.967,286.082,246.426,261.429,257.396,251.234,202.695,177.065,233.828,293.063,286.941,296.62,264.996,344.479,316.736,279.318,251.482,232.361,236.705,275.546,226.776,270.384,326.235,253.678,210.791,215.611,170.985,401.048,308.851,401.53,274.884,275.691,282.063,291.896,251.941,321.365,299.981,315.355,296.905,221.493,223.217,229.75,245.081,166.124,217.341,247.398,197.281,199.705,224.842,139.195,112.192,246.764,285.731,281.833
"6",6,324.638,283.488,250.008,268.298,254.071,248.926,202.037,180.093,235.24,297.004,291.387,308.413,264.76,342.489,309.551,279.42,266.506,231.295,240.947,296.451,233.254,281.978,327.516,262.158,217.305,213.532,178.905,400.538,315.98,395.178,272.963,271.589,277.336,288.891,249.869,321,306.024,326.5,291.124,228.716,221.187,238.064,248.881,167.469,226.386,252.476,200.36,209.377,234.329,143.367,114.5,248.804,291.161,275.031
"7",7,326.908,289.014,249.863,268.016,256.027,253.145,214.426,178.491,240.34,299.02,289.26,306.635,275.672,343.411,312.069,282.894,255.689,245.018,237.217,292.473,234.452,283.581,329.713,254.603,213.006,222.699,180.886,403.457,325.745,393.958,292.799,277.7,286.878,288.036,253.059,321.761,313.285,325.368,304.058,224.426,220.777,244.795,251.572,173.463,223.398,249.62,204.504,211.034,231.208,146.152,119.496,250.844,284.313,268.573
"8",8,323.85,292.169,248.047,270.863,256.796,257.66,215.295,183.827,239.433,296.337,288.164,301.317,277.467,349.453,317.097,274.514,266.372,233.928,252.729,293.912,237.281,282.288,331.144,266.062,225.243,228.38,182.678,408.339,314.795,392.814,285.043,280.198,277.735,287.417,253.576,319.357,302.527,317.632,294.883,219.338,224.892,232.128,255.191,174.847,231.625,265.596,204.228,211.454,237.842,141.376,124.692,254.036,296.551,275.021
"9",9,329.6,287.246,256.832,276.044,260.156,253.297,217.468,192.047,245.155,305.361,295.592,302.837,276.969,337,312.699,284.09,257.427,231.759,246.179,303.974,237.588,280.328,334.762,262.377,220.136,225.245,184.14,411.704,319.815,400.97,280.043,272.43,286.164,302.682,258.47,325.82,318.106,325.605,308.679,231.378,231.181,234.654,260.496,168.531,231.006,257.711,203.434,217.454,240.279,149.176,129.738,263.476,294.63,283.297
"10",10,324.096,293.449,258.164,272.775,262.729,254.602,213.5,175.262,246.521,294.314,303.24,303.183,270.572,343.463,325.236,277.835,277.134,234.06,252.121,302.619,241.11,282.319,335.821,251.952,221.13,224.833,182.303,404.919,322.149,404.403,284.518,286.662,290.748,295.312,254.322,323.749,313.667,325.105,304.248,224.98,242.193,240.346,260.869,179.09,230.659,266.958,205.917,216.971,244.788,152.41,133.921,253.538,295.171,280.849
"11",11,328.538,291.184,262.457,282.816,260.164,258.512,219.153,187.743,246.601,309.349,298.563,313.245,275.183,339.458,316.463,280.553,255.317,236.012,251.855,299.908,235.053,285.666,331.897,271.973,222.424,233.435,185.129,408.898,323.255,394.119,293.585,277.913,291.571,299.859,256.153,328.329,319.488,323.404,302.81,224.649,234.41,241.269,254.542,181.633,235.199,262.169,210.333,217.841,243.371,159.452,135.983,269.116,303.389,280.839
"12",12,334.196,296.242,261.176,286.768,261.076,259.367,211.168,191.734,243.067,305.439,290.319,309.298,277.074,334.721,310.449,288.667,258.421,236.518,248.778,297.579,235.618,283.928,336.076,275.103,230.943,228.556,189.595,408.22,327.182,398.153,284.726,280.483,280.357,303.729,254.852,327.11,313.304,328.904,311.27,222.986,240.151,240.071,261.712,183.864,239.5,256.5,217.136,224.208,247.046,149.857,130.762,273.64,306.519,280.094
"13",13,331.354,298.435,253.633,285.53,263.956,259.082,218.453,191.879,248.382,304.576,310.832,317.183,275.297,338.853,326.222,283.255,269.512,233.711,253.005,299.212,244.969,283.744,339.091,277.226,223.096,233.847,188.326,408.129,333.997,402.212,295.213,281.053,291.441,300.156,258.623,331.898,318.01,329.048,311.891,228.784,237.91,240.84,259.941,185.763,243.682,259.536,210.281,223.256,245.475,161.724,136.683,267.067,306.984,280.641
"14",14,334.538,305.986,263.668,290.022,258.978,256.355,217.105,203.477,256.189,307.212,311.214,320.308,281.655,345.026,322.463,286.557,270.451,246.904,255.643,298.392,239.526,291.031,338.798,280.87,225.706,233.315,190.955,411.419,323.728,389.229,291.677,292.469,295.349,302.083,257.445,330.788,324.198,332.035,321.518,223.338,240.777,241.853,256.288,190.605,242.443,263.47,218.917,225.816,254.033,161.719,138.312,273.827,300.873,280.432
"15",15,333.775,303.614,259.586,286.438,260.862,270.809,224.816,197.15,253.676,310.847,306.315,317.072,284.14,354.974,317.829,285.769,266.543,244.873,244.792,295.897,241.439,293.547,334.243,280.527,227.559,233.838,192.492,414.898,332.152,403.712,295.878,290.802,288.626,302.87,257.886,331.565,316.763,336.697,313.212,230.439,243.259,242.032,266.106,186.085,244.858,257.331,216.89,224.348,249.317,165.238,142.542,268.298,306.785,291.078
"16",16,330.921,301.923,258.242,293.257,263.516,262.734,225.268,202.991,253.672,309.863,306.328,310.317,280.227,345.026,323.954,295.855,272.47,239.651,249.754,308.901,242.553,284.978,346.317,281.808,228.859,234.421,190.962,415.72,324.394,402.466,303.939,288.56,286.382,306.37,271.657,327.322,321.739,328.961,308,236.074,244.639,241.212,263.305,194.768,245.256,272.626,223.184,228.449,255.75,164.157,142.479,277.56,307.763,283.677
"17",17,325.575,294.686,265.723,295.298,274.289,266.832,230.674,206.836,263.815,311.369,306.899,311.279,288.192,342.368,314.829,286.729,262.756,242.199,260.333,300.806,239.246,290.825,346.801,280.267,229.107,229.657,196.22,399.876,342.394,399.932,295,291.092,297.155,308.51,269.881,334.839,331.362,334.311,317.365,232.588,244.849,252.135,265.818,193.435,250.04,266.506,227.807,238.024,252.337,164.39,149.417,275.898,309.187,282.755
"18",18,333.983,303.208,260.891,297.425,264.52,263.73,221.011,203.131,258.13,311.722,306.828,309.25,289.755,348.758,318.222,296.294,267.628,237.982,256.188,314.187,246.43,291.95,346.408,283.007,228.401,238.463,194.451,413.398,341.146,394.229,293.915,290.237,299.109,304.568,266.725,338.949,320.952,334.978,321.372,237.047,247.054,241.538,271.191,191.61,250.244,268.56,221.408,236.43,256.917,167.219,149.562,283.053,306.361,291.688
"19",19,333.35,303.14,270.668,298.086,265.844,271.719,225.089,197.304,253.399,315.004,306.429,319.577,292.707,345.621,327.495,286.361,269.091,247.217,256.773,309.051,255.605,294.775,345.188,286.678,232.915,235.139,191.496,402.151,337.543,399.195,295,288.155,306.403,291.599,268.763,335.651,320.357,343.697,316.92,231.682,255.922,247.872,260.936,187.345,246.42,267.813,224.439,228.739,260.925,163.562,149.521,280.609,305.547,289.688
"20",20,341.496,305.932,261.91,296.949,275.156,269.645,231.168,208.584,265.231,311.118,310.685,321.125,286.511,351.758,329.995,289.259,275.646,244.898,253.246,303.751,251.456,299.191,339.933,289.13,232.418,242.028,200.269,413.661,330.868,393.453,299.604,293.845,299.866,302.802,259.623,331.588,325.961,340.697,331.073,235.986,249.566,245.558,265.678,196.599,247.881,268.639,226.452,239.135,260.633,172.681,146.804,282.716,313.522,290.198
"21",21,331.95,313.894,275.301,301.832,264.253,267.883,225.868,208.977,261.206,316.051,309.71,321.303,295.852,350.189,328.269,293.737,274.915,245.434,257.333,311.557,247.636,290.538,359.798,291.87,228.045,238.255,196.841,415.586,339.685,401.86,307.335,295.271,300.471,300.99,275.712,339.122,329.918,349.553,326.577,235.162,251.386,250.147,272.729,200.062,257.562,273.584,228.07,242.865,259.275,178.614,155.592,281.947,315.028,289.932
"22",22,335.913,301.483,268.684,297.892,268.902,269.906,226.858,205.86,261.265,317.455,309.845,330.25,291.319,344.479,330.259,290.957,271.768,247.994,258.628,310.905,253.43,294.356,345.636,286.021,229.023,234.361,194.008,423.591,337.44,403.572,298.921,294.343,297.151,310.693,264.856,337.616,330.773,339.022,324.124,235.588,260.386,259.122,272.047,196.203,266.824,270.548,235.145,236.261,263.367,167.857,150.225,291.329,317.728,284.703
"23",23,339.1,305.039,271.656,297.762,277.413,266.473,230.547,206.949,260.143,321.498,309.504,316.986,293.716,350.563,318.824,298.176,272.963,250.307,257.15,313.648,245.794,291.969,348.108,294.726,229.621,232.213,198.697,415.941,336.652,396.377,300.476,291.193,295.134,301.99,267.008,329.639,337.56,347.482,335.292,233.568,249.524,249.231,266.924,203.819,262.562,275.078,223.649,243.85,264.696,173.743,148.983,283.133,316.247,297.604
"24",24,337.663,300.604,263.383,309.568,272.96,268.391,235.453,208.64,260.66,323.506,308.193,325.139,289.821,346.047,322.009,289.11,275.549,251.723,256.913,315.956,243.136,295.522,348.466,301.822,237.616,231.477,200.788,416.317,338.126,398.792,305.823,295.56,301.424,312.167,265.877,334.247,332.614,343.566,337.708,240.189,252.741,246.442,267.932,201.418,253.727,268.41,237.294,240.459,266.35,174.795,158.846,283.911,312.487,299.547
"25",25,345.625,305.077,272.094,303.536,272.293,274.387,232.947,211.584,259.824,313.431,312.139,328.524,294.533,349.526,328.324,286,277.152,243.518,254.087,309.535,259.408,299.112,351.789,297.966,228.763,234.931,199.799,415.075,339.01,392.818,304.787,295.72,303.038,311.427,282.343,342.169,332.039,343.864,344.635,238.432,260.928,248.878,272.034,198.548,252.972,275.024,229.886,238.014,271.492,169.614,158.917,282.151,317.082,296.979
"26",26,333.513,300.039,276.449,303.216,270.711,270.586,231.395,213.131,269.286,315.451,313.815,322.957,295.048,357.868,332.264,293.839,273.652,246.434,263.014,307.432,242.592,302.294,350.674,294.404,228.164,247.505,201.568,416.86,340.079,395.292,300.677,300.536,303.538,311.911,280.072,342.776,331.28,342.531,327.343,238.628,255.349,248.673,273.941,199.362,258.761,266.042,232.939,234.686,269.913,181.995,157.558,292.502,314.424,296.193
"27",27,347.904,303.705,283.363,307.94,271.067,271.594,237.053,212.491,270.521,321.776,316.13,318.673,295.122,349.274,332.051,289.592,275.47,245.181,262.594,313.802,260.197,301.566,355.569,290.356,232.469,234.051,202.25,423.054,341.546,394,309.268,301.15,309.109,300.953,269.153,337.09,335.536,348.811,329.38,241.426,249.825,254.731,267.843,203.847,261.801,275.741,242.088,242.87,268.454,176.838,160.908,293.778,320.301,297.651
"28",28,345.933,311.672,277.754,307.683,271.124,284.355,232.505,214.425,269.168,318.486,312.466,323.005,298.441,346.984,330.06,294.059,278.841,248.373,258.222,312.634,254.039,301.609,353.581,299.76,228.418,238.046,201.504,421.269,342.894,393.14,315.726,301.816,307.315,313.099,270.415,342.655,335.203,351.719,338.679,236.858,262.886,252.237,270.407,202.689,264.244,273.578,239.004,248.763,278.054,176.714,160.592,294.818,318.642,299.615
"29",29,341.108,305.256,283.09,311.708,274.991,278.668,235.505,215.659,265.055,319.62,314.807,333.365,301.803,360.958,328.713,292.984,273.299,251.03,258.797,305.923,247.5,304.031,352.152,307.781,235.492,231.972,201.845,421.376,344.427,403.373,303.604,303.435,307.74,316.75,277.318,345.051,335.256,351.89,340.015,235.345,256.928,256.532,282.5,204.006,265.403,277.096,234.404,250.174,264.846,182.895,166.704,300.493,324.37,304.286
"30",30,338.971,306.295,268.77,306.721,277.036,275.426,235.616,216.631,263.466,328.125,314.496,326.019,292.07,351.316,329.843,289.016,281.213,250.373,257.367,310.751,254.026,300.922,351.023,300.815,235.35,233.185,203.383,417.07,342.599,395.958,315.189,302.821,312.765,304.917,280.182,345.239,333.473,348.82,339.686,233.365,268.633,251.929,272.614,209.763,262.784,274.41,240.785,242.362,265.413,176.59,166.483,289.809,326.57,293.26
"31",31,339.996,307.531,280.91,308.66,278.809,271.922,245.974,221.285,265.853,312.937,319.979,329.5,295.895,352.932,332.403,287.573,283.128,246.44,254.589,314.264,259.316,300.016,354.167,301.562,236.051,240.19,206.564,410.151,349.321,400.555,315.146,299.884,310.706,303.625,281.525,349.882,341.319,348.636,345.365,230.588,260.133,258.859,279.237,211.791,271.733,274.813,243.947,251.155,272.013,185.662,163.854,302.067,318.867,301.151
"32",32,348.658,313.71,285.164,306.911,276.178,279.051,233.595,215.869,273.013,321.435,322.424,332.875,298.402,357.847,328.431,295.094,289.53,240.476,266.821,315.136,262.965,306.612,351.528,294.575,230.876,241.051,202.189,418.495,353.533,401.602,307.957,298.792,314.496,308.891,273.962,346.384,333.333,347.452,336.934,237.264,261.795,263.263,276.852,213.395,259.864,277.898,243.373,248.971,282.35,184.576,165.946,293.764,320.051,300.219
"33",33,341.692,310.802,275.227,314.517,279.111,279.723,235.847,221.397,278.546,323.051,323.487,327.601,296.074,351.411,334.088,290.706,282.579,247.56,257.193,313.985,255.719,303.438,350.616,312.534,230.599,237.676,200.163,417.903,347.692,397.936,308.909,305.952,305.639,312.677,271.975,344.447,327.179,348.566,347.708,242.736,271.711,257.532,277.326,204.808,268.301,276.247,234.386,250.787,277.533,181.671,166.633,295.284,321.715,293.875
"34",34,342.888,308.85,273.414,318.594,274.729,271.895,238.137,219.093,274.244,327.133,322.676,339.615,300.45,356.121,329.926,287.353,279.482,251.042,265.797,319.744,252.079,301.038,355.789,293.5,227.768,237.454,203.178,411.817,348.384,398.097,313.75,309.981,310.286,306.812,283.699,340.451,337.947,356.408,331.277,247.824,265.669,256.609,272.992,209.989,270.136,275.404,240.741,251.01,276.067,183.724,162.583,293.329,320.234,301.745
"35",35,337.167,306.99,281.637,319.692,274.32,279.945,232.937,217.421,275.374,318.478,317.563,323.399,299.956,346.189,328.31,292.737,283.213,246.253,261.256,323.553,254.004,306.156,358.716,306.473,236.446,238.38,201.439,407.941,350.341,393.669,313.774,299.343,313.05,313.984,277.767,338.157,338.527,352.184,358.482,246.419,280.084,255.679,272.695,214.763,272.773,279.458,246.092,257.237,277.425,180.714,165.137,293.56,319.297,307.516
"36",36,343.271,307.783,286.391,321.584,277.791,283.953,246.321,220.379,269.29,324.533,318.685,326.202,300.528,366.216,339.194,300.016,279.671,239.096,262.976,314.967,260.404,308.081,351.941,307.514,245.124,236.833,207.11,411.016,351.868,395.284,314.323,309.797,310.685,311.109,281.907,339.255,340.188,344.11,337.27,236.757,267.693,256.814,276.606,209.475,277.653,272.259,248.061,250.546,276.483,193.886,167.117,303.471,320.946,308.995
"37",37,346.008,311.126,284.906,322.441,282.156,275.531,249.037,219.93,277.559,329.569,318.26,323.913,302.07,360.011,332.653,293.757,290.067,246.928,256.203,322.366,260.899,300.391,355.557,298.404,245.48,246.093,204.553,417.565,354.95,394.445,320.86,304.899,313.445,302.682,275.14,341.275,330.527,353.395,348.175,232.284,263.753,255.071,283.275,211.734,265.256,277.361,240.276,257.628,279.767,182.171,172.442,306.182,318.532,303.693
"38",38,345.408,309.672,284.605,320.422,279.96,276.398,243.4,218.589,270.076,321.902,319.74,324.611,299.62,352.842,325.616,289.176,283.793,253.331,260.348,320.634,259.136,309.122,357.566,306.089,233.299,241.06,210.265,422.156,354.424,390.22,317.195,309.923,309.689,302.927,278.305,345.18,342.058,360.833,350.131,237.331,267.187,261.628,278.542,221.062,271.284,273.151,244.912,248.048,275.321,183.181,172.867,299.089,323.797,303.719
"39",39,340.779,306.855,281.379,322.616,273.596,272.906,243.658,225.794,275.319,318.02,323.487,339.154,299.319,355.858,345.773,288.725,271.848,246.717,265.647,318.256,251.768,299.666,356.106,304.336,240.525,235.454,205.049,416.43,349.808,396.364,317.402,303.42,311.836,314.193,279.822,344.788,346.947,358.149,347.35,247.007,273.247,262.692,278.97,214.881,275.784,287.271,249.601,254.831,279.942,190.948,169.392,295.107,323.934,307.234
"40",40,352.583,307.285,280.539,314.825,286.436,282.633,240,223.523,281.798,328.976,314.466,329.562,302.838,361.242,332.486,297.294,280.457,250.717,261.952,321.722,258.794,307.494,361.85,310.486,241.288,245.782,209.511,411.059,346.546,395.127,316.994,312.164,313.454,312.188,277.983,343.871,338.676,353.877,345.102,245.23,270.807,254.436,283.915,221.853,277.506,284.548,249.307,256.667,277.458,186.852,173.575,295.089,321.073,303.109
"41",41,347.929,313.338,284.641,315.594,277.138,284.238,240.958,219.215,278.5,327.6,322.256,323.889,305.76,350.368,333.352,291.918,297.793,243.108,262.14,317.264,269.886,309.656,362.689,307.041,244.746,240.616,211.394,423.796,354.772,404.809,315.945,308.295,320.399,312.24,283.025,345.996,344.686,360.048,352.139,230.682,269.639,254.981,278.975,218.339,268.494,287.608,241.934,250.841,279.087,190.729,174.158,303.284,320.123,302.516
"42",42,346.858,314.599,288.406,321.298,283.556,281.426,241.884,223.477,273.113,319.522,324.328,329.034,303.306,358.211,335.583,296.318,284.146,252.596,262.039,320.692,259.031,312.969,354.044,305.788,243.678,229.931,211.947,419.398,351.702,401.983,319.762,298.13,311.206,301.286,288.072,349.863,344.58,361.202,351.314,237.926,268.795,267.301,279.085,213.497,282.148,273.12,241.307,259,278.175,192.51,178.75,308.511,331.253,309.49
"43",43,354.388,309.657,285.84,321.368,287.76,282.707,244.195,217.28,274.303,328.992,329.95,331.635,311.681,356.616,336.343,297.674,290.677,244.687,263.449,317.575,261.675,311.962,358.364,315.247,240.633,238.106,205.197,425.737,352.189,408.186,312.043,311.386,315.912,315.474,279.619,356.184,339.551,360.689,347.358,238.554,271.988,267.808,274.22,222.113,272.778,281.801,249.904,255.469,288.862,186.048,170.204,302.524,334.867,300.745
"44",44,347.117,307.174,286.125,327.022,284.676,281.805,249.611,221.715,281.076,326.059,325.697,328.639,303.559,354.742,340.282,292.286,292.28,243.651,261.377,326.586,259.846,310.353,356.827,316.76,244.989,248.801,212.674,427.489,352.281,397.297,321.787,310.85,308.718,313.484,282.831,341.667,339.357,364.232,347.044,239.554,269.325,266.346,280.301,218.198,270.631,286.452,253.127,262.005,284.817,193.919,176.683,309.738,325.525,308.38
"45",45,341.775,312.763,285.363,325.495,283.533,291.23,255.474,221.421,277.122,327.588,323.391,326.591,301.812,358.289,340.454,300.98,294.39,251.693,268.787,328.256,270.346,308.678,356.977,306.384,240.723,247.921,209.742,419.613,353.632,401.873,315.97,309.865,311.269,314.781,281.055,348.467,346.198,364.18,351.088,241.101,277.813,267,286.025,219.023,275.699,282.53,254.873,254.449,284.054,187.267,176.758,304.733,328.377,306.422
"46",46,356.992,318.382,286.656,327.784,272.2,290.969,246.163,225.79,280.655,329.451,336.517,338.082,313.786,365.353,339.347,295.224,286.848,244.783,271.464,325.355,266.316,306.444,360.607,309.014,238.881,240.537,213.955,431.065,346.636,396.797,321.555,306.319,320.571,305.875,285.301,347.169,344.014,358.355,342.599,247.338,277.904,269.173,278.331,219.113,275.159,272.711,250.956,265.126,291.604,191.657,175.288,309.116,328.873,304.318
"47",47,345.4,306.749,284.867,326.435,283.231,287.664,248.642,225.407,284.13,328.608,322.076,336.072,313.908,358.984,337.162,297.333,284.549,246.747,259.623,324.205,265.268,312.003,360.968,322.274,241.282,239.602,212.383,422.591,355.646,395.487,323.97,315.242,312.42,310.12,280.763,346.788,346.01,362.395,345.044,248.041,279.723,267.731,278.873,225.452,276.267,288.217,248.171,265.599,288.633,190.971,175.346,308.68,333.861,305.615
"48",48,352.896,312.024,288.062,325.997,285.871,288.223,247.321,225.28,271.235,329.957,326.597,340.428,311.79,363.237,343.125,294.169,294.171,246.753,264.986,330.158,275.425,311.263,360.402,317.055,242.565,248.861,214.167,423.747,357.497,397.013,323.256,313.488,317.433,314.167,295.953,351.443,349.256,361.544,362.277,239.331,275.777,274.968,281.953,228.316,281.136,285.114,262.022,264.923,284.346,196.867,175.675,311.413,329.614,311.911
"49",49,351.183,307.928,290.594,327.987,280.684,283.25,251.668,222.318,281.197,331.075,325.908,337.12,302.061,361.368,331.264,298.271,285.976,247.139,265.556,326.392,261.215,309.731,358.548,328.336,240.644,241.944,213.985,431.554,357.831,391.771,317.884,317.203,312.269,302.927,285.589,342.933,344.092,364.184,348.832,242.02,279.699,261.462,277.271,217.701,280.108,290.651,256.561,257.068,285.596,199.824,180.192,308.533,336.551,305.438
"50",50,348.246,315.517,287.059,329.479,279.511,287.699,251.768,229.902,275.025,331.176,319.021,336.798,311.969,356.974,342.968,293.416,283.073,250.102,266.966,322.641,258.68,313.344,366.155,325.164,244.881,240.185,220.716,427.398,359.421,388.949,323.323,315.043,314.16,321.271,283.161,352.741,344.72,360.184,362.153,242.189,277.181,269.205,287.962,224.503,287.273,282.325,249.184,259.411,292.487,197.557,178.804,309.164,332.199,302.141
"51",51,353.829,316.961,291.809,328.47,289.587,291.164,253.026,232.299,287.403,331.353,334.87,334.606,312.764,366.116,344.694,296.635,294.274,247.253,266.005,328.762,270.469,312.044,368.135,325.459,248.232,243.287,213.182,425.661,361.576,401.953,325.768,310.242,317.966,314.849,295.903,348.827,343.121,359.89,364.518,233.885,278.705,272.167,278.72,222.35,285.267,276.398,256.281,264.285,295.071,196.181,185.296,312.52,331.994,307.635
"52",52,350.087,319.894,292.262,323.819,283.213,286.609,255.489,226.215,288.248,334.251,325.349,335.582,309.712,361.132,344.56,298.42,286.878,248.584,269.14,326.502,266.263,312.903,364.452,321.664,248.96,240.199,209.966,433.194,360.397,397.301,326.317,317.449,325.727,310.917,287.496,349.784,349.792,362.474,359.847,241.068,278.759,267.731,283.356,218.684,289.682,285.289,257.421,259.952,292.038,197.033,181.833,316.991,332.222,305.37
"53",53,358.067,324.13,290.668,334.216,279.738,288.02,256.516,226.121,283.563,334.129,325.084,347.692,315.376,350.826,341.56,296.549,287.128,247.422,269.469,330.286,271.557,312.875,365.059,325.664,250.073,241.074,215.939,421.651,361.881,391.742,324.238,313.807,310.777,317.083,286.975,349.133,350.889,355.39,349.467,239.662,282.825,265.282,280.525,221.469,285.585,288.705,252.689,267.556,290.254,198.967,182.546,309.907,333.386,310.922
"54",54,347.929,318.478,291.531,332.638,291.258,286.438,255.453,224.285,278.95,332.922,325.555,337.216,310.943,366.879,348.745,302.867,296.177,252.458,267.947,329.971,268.132,318.256,368.642,320.712,253.435,252.62,220.905,437.21,363.983,398.792,331.262,306.884,324.345,315.839,288.847,355.086,344.87,372.768,353.606,248.777,289.512,267.878,285.517,229.655,285.665,276.386,260.522,267.536,293.029,200.114,182.275,314.427,333.152,316.375
"55",55,350.975,314.15,294.164,336.292,289.262,290.215,254.279,231.486,280.756,333.682,330.601,344.284,312.031,370.163,342.694,301.188,290.122,252.434,269.657,329.678,268.482,312.288,363.76,325.336,247.192,249.5,219.042,431.183,362.026,392.225,330.97,315.502,323.79,316.115,288.784,352.216,352.493,365.355,354.905,246.216,285.861,273.179,284.945,224.96,280.449,289.102,268.658,271.116,290.767,196.457,183.692,311.947,336.513,313.635
"56",56,347.179,318.715,294.609,330.387,291.996,289.805,250.011,229.215,285.303,336.514,328.029,341.808,314.035,357.195,344.954,296.565,290.421,252.404,270.826,332.645,276.654,317.303,366.557,323.24,242.379,246.731,217.318,429.226,360.844,397.237,320.756,313.638,321.861,309.875,287.305,357.576,354.019,363.035,363.964,259.588,283.753,284.205,283.873,226.085,295.233,282.265,258.539,264.734,288.271,200.476,189.712,311.382,337.351,309.693
"57",57,351.354,319.729,289.867,331.848,289.649,286.816,255.9,224.075,280.794,336.859,345.84,341.909,306.585,366.547,336.199,300.725,289.195,252.62,263.749,332.051,270.311,312.872,356.554,318.445,239.384,247.296,215.409,427.995,370.308,399.686,327.591,314.111,313.534,314.125,292.695,356.984,354.28,363.083,357.248,246.709,275.422,276.712,278.962,217.859,282.483,286.741,260.675,261.425,291.9,197.624,181.679,315.631,327.854,313.786
"58",58,361.271,324.932,297.277,330.635,291.471,296.551,257.637,232.103,281.664,330.8,342.164,348.135,315.847,360.405,351.338,303.996,291.445,255.62,272.164,337.432,264.956,321.95,364.71,327.199,246.893,245.315,217.091,416.973,361.182,399.547,329.463,328.797,323.731,317.521,294.347,345.886,355.121,367.605,368.672,247.723,289.205,271.385,282.78,225.017,287.011,287.994,259.434,266.512,290.571,203.519,187.312,320.173,330.829,308.302
"59",59,356.229,327.623,294.066,328.486,287.333,290.68,263.563,234.631,288.681,334.016,340.937,343.582,314.52,363.084,341.708,296.224,290.994,244.627,274.101,329.44,273.855,320.062,369.141,323.842,246.712,239.06,219.735,428.629,362.331,386.945,332.829,318.13,328.202,319.25,294.767,353.443,360.193,367,359.489,247.338,283.343,271.878,289.03,234.119,290.517,293.843,266.276,267.135,290.125,207.79,183.092,317.796,329.823,316.182
"60",60,350.733,312.28,294.043,331.378,296.089,287.758,255.463,227.65,288.95,334.91,327.059,341.173,306.873,366.368,348.245,305.184,290.049,245.108,263.855,326.839,273.908,309.812,367.513,322.322,246.503,251.537,221.902,435.075,368.755,400.483,330.982,319.406,322.231,320.74,288.966,354.275,349.652,366.614,365.679,250.203,286.181,269.654,287.153,228.808,288.858,290.59,270.561,268.488,293.05,205.281,185.204,314.351,338.744,312.396
"61",61,362.167,315.85,293.578,338.016,295.933,290.5,258.242,230.341,286.912,335.839,338.088,341.649,318.594,366.695,344.301,291.906,293.89,249.392,269.261,329.447,269.289,317.913,367.56,323.432,244.955,253.176,222.201,423.387,364.732,393.661,326.652,316.628,326.336,317,294.619,354.6,342.763,364.632,363.693,242.554,293.952,270.449,284.877,227.74,289.04,292.024,259.307,275.386,294.133,201.138,190.988,324.218,333.595,312.229
"62",62,350.017,328.29,293.684,337.829,298.644,293.297,266.284,229.598,292.5,344.431,331.79,346.572,322.738,367.958,345.102,297.027,300.067,246.169,271.995,329.429,270.355,320.266,367.05,326.63,239.35,243.343,217.928,431.806,366.603,399.568,334.195,314.517,324.416,326.583,298.818,350.235,349.889,369.474,367.248,245.926,293.819,272.256,286.216,228.401,291.318,290.711,264.202,262.773,297.9,199.005,188.908,319.573,336.389,317.719
